x1,x2,x3,x4
3593.75,3925.78125,5000.0,6552.734375
3588.8671875,3940.4296875,5014.6484375,6552.734375
3608.3984375,3950.1953125,4985.3515625,6562.5
3593.75,3964.84375,5014.6484375,6582.03125
3588.8671875,3955.078125,5019.53125,6601.5625
3588.8671875,3979.4921875,5029.296875,6567.3828125
3588.8671875,3969.7265625,5024.4140625,6582.03125
3583.984375,3989.2578125,5029.296875,6606.4453125
3598.6328125,3994.140625,5043.9453125,6596.6796875
3598.6328125,3984.375,5024.4140625,6611.328125
3598.6328125,3979.4921875,5053.7109375,6616.2109375
3598.6328125,3974.609375,5073.2421875,6635.7421875
3593.75,3989.2578125,5063.4765625,6621.09375
3583.984375,3989.2578125,5058.59375,6625.9765625
3618.1640625,3984.375,5058.59375,6650.390625
3598.6328125,3999.0234375,5087.890625,6630.859375
3598.6328125,3974.609375,5073.2421875,6635.7421875
3608.3984375,4008.7890625,5083.0078125,6625.9765625
3623.046875,3989.2578125,5083.0078125,6616.2109375
3627.9296875,3989.2578125,5068.359375,6601.5625
3603.515625,3979.4921875,5092.7734375,6601.5625
3632.8125,3969.7265625,5087.890625,6596.6796875
3632.8125,3955.078125,5087.890625,6577.1484375
3623.046875,3964.84375,5078.125,6582.03125
3632.8125,3945.3125,5073.2421875,6567.3828125
3618.1640625,3935.546875,5053.7109375,6567.3828125
3637.6953125,3940.4296875,5058.59375,6552.734375
3642.578125,3945.3125,5063.4765625,6562.5
3647.4609375,3925.78125,5039.0625,6542.96875
3657.2265625,3911.1328125,5029.296875,6552.734375
3652.34375,3930.6640625,5029.296875,6557.6171875
3652.34375,3955.078125,5029.296875,6533.203125
3666.9921875,3925.78125,5009.765625,6538.0859375
3652.34375,3911.1328125,5009.765625,6518.5546875
3681.640625,3911.1328125,5004.8828125,6528.3203125
3676.7578125,3920.8984375,4985.3515625,6533.203125
3662.109375,3911.1328125,5009.765625,6518.5546875
3676.7578125,3911.1328125,5000.0,6528.3203125
3681.640625,3901.3671875,4995.1171875,6513.671875
3671.875,3901.3671875,4980.46875,6508.7890625
