x1,x2,x3,x4,x5,x6
3417.96875,3320.3125,3510.7421875,4033.203125,5004.8828125,6250.0
3417.96875,3305.6640625,3500.9765625,4028.3203125,4995.1171875,6250.0
3417.96875,3320.3125,3515.625,4033.203125,4995.1171875,6250.0
3408.203125,3320.3125,3525.390625,4028.3203125,4995.1171875,6254.8828125
3398.4375,3325.1953125,3510.7421875,4033.203125,4985.3515625,6245.1171875
3417.96875,3315.4296875,3520.5078125,4047.8515625,4970.703125,6245.1171875
3437.5,3325.1953125,3530.2734375,4057.6171875,4985.3515625,6259.765625
3442.3828125,3325.1953125,3540.0390625,4047.8515625,4980.46875,6210.9375
3427.734375,3344.7265625,3554.6875,4013.671875,4990.234375,6215.8203125
3432.6171875,3339.84375,3540.0390625,4042.96875,4970.703125,6210.9375
3339.84375,3330.078125,3549.8046875,4038.0859375,4975.5859375,6225.5859375
3427.734375,3334.9609375,3540.0390625,4057.6171875,4956.0546875,6196.2890625
3432.6171875,3334.9609375,3544.921875,4057.6171875,4980.46875,6201.171875
3427.734375,3344.7265625,3540.0390625,4072.265625,4956.0546875,6186.5234375
3437.5,3364.2578125,3544.921875,4038.0859375,4951.171875,6181.640625
3408.203125,3359.375,3535.15625,4028.3203125,4951.171875,6191.40625
3413.0859375,3359.375,3535.15625,4052.734375,4960.9375,6181.640625
3413.0859375,3344.7265625,3535.15625,4038.0859375,4936.5234375,6176.7578125
3378.90625,3388.671875,3500.9765625,4062.5,4970.703125,6186.5234375
3388.671875,3369.140625,3505.859375,4033.203125,4970.703125,6181.640625
3393.5546875,3369.140625,3515.625,4023.4375,4980.46875,6181.640625
3383.7890625,3374.0234375,3500.9765625,4013.671875,4965.8203125,6181.640625
3388.671875,3393.5546875,3491.2109375,4028.3203125,4970.703125,6166.9921875
3383.7890625,3378.90625,3496.09375,4013.671875,4985.3515625,6196.2890625
3364.2578125,3388.671875,3505.859375,3994.140625,4995.1171875,6186.5234375
3378.90625,3403.3203125,3491.2109375,3999.0234375,5000.0,6201.171875
3364.2578125,3383.7890625,3481.4453125,4013.671875,5004.8828125,6220.703125
3359.375,3417.96875,3496.09375,4003.90625,5004.8828125,6201.171875
3369.140625,3422.8515625,3500.9765625,3979.4921875,5014.6484375,6206.0546875
3339.84375,3403.3203125,3481.4453125,3989.2578125,5019.53125,6235.3515625
3383.7890625,3403.3203125,3466.796875,3984.375,5024.4140625,6225.5859375
3349.609375,3408.203125,3471.6796875,3979.4921875,5014.6484375,6230.46875
3339.84375,3427.734375,3471.6796875,3979.4921875,5014.6484375,6230.46875
3354.4921875,3413.0859375,3466.796875,3979.4921875,5039.0625,6220.703125
3334.9609375,3378.90625,3461.9140625,3969.7265625,5034.1796875,6240.234375
3349.609375,3383.7890625,3437.5,3959.9609375,5014.6484375,6235.3515625
3330.078125,3383.7890625,3447.265625,3945.3125,5039.0625,6254.8828125
3344.7265625,3393.5546875,3442.3828125,3959.9609375,5034.1796875,6230.46875
3334.9609375,3369.140625,3432.6171875,3930.6640625,5034.1796875,6254.8828125
3359.375,3369.140625,3432.6171875,3959.9609375,5048.828125,6250.0
3349.609375,3369.140625,3452.1484375,3940.4296875,5058.59375,6259.765625
3369.140625,3364.2578125,3452.1484375,3964.84375,5048.828125,6264.6484375
3354.4921875,3359.375,3481.4453125,3955.078125,5039.0625,6279.296875
3344.7265625,3349.609375,3466.796875,3969.7265625,5063.4765625,6279.296875
3354.4921875,3344.7265625,3471.6796875,3950.1953125,5068.359375,6274.4140625
3369.140625,3344.7265625,3476.5625,3984.375,5058.59375,6284.1796875
3369.140625,3359.375,3471.6796875,3964.84375,5073.2421875,6298.828125
3374.0234375,3359.375,3481.4453125,3979.4921875,5068.359375,6298.828125
3364.2578125,3369.140625,3476.5625,3989.2578125,5053.7109375,6289.0625
3388.671875,3354.4921875,3476.5625,3989.2578125,5053.7109375,6293.9453125
3388.671875,3339.84375,3500.9765625,4018.5546875,5043.9453125,6323.2421875
3374.0234375,3349.609375,3496.09375,4003.90625,5048.828125,6303.7109375
3388.671875,3344.7265625,3491.2109375,4018.5546875,5014.6484375,6289.0625
3398.4375,3334.9609375,3496.09375,4003.90625,5043.9453125,6269.53125
3413.0859375,3320.3125,3500.9765625,4018.5546875,5019.53125,6279.296875
3413.0859375,3344.7265625,3510.7421875,4042.96875,5058.59375,6274.4140625
3398.4375,3325.1953125,3515.625,4018.5546875,5009.765625,6254.8828125
3408.203125,3315.4296875,3515.625,4018.5546875,5009.765625,6269.53125
3403.3203125,3315.4296875,3559.5703125,4028.3203125,4995.1171875,6254.8828125
3413.0859375,3305.6640625,3520.5078125,4028.3203125,5009.765625,6250.0
3427.734375,3325.1953125,3515.625,4023.4375,5000.0,6230.46875
3403.3203125,3320.3125,3540.0390625,4038.0859375,4990.234375,6235.3515625
3422.8515625,3330.078125,3549.8046875,4008.7890625,5000.0,6225.5859375
3413.0859375,3320.3125,3525.390625,4028.3203125,4990.234375,6201.171875
3427.734375,3344.7265625,3535.15625,4028.3203125,4985.3515625,6210.9375
3437.5,3359.375,3549.8046875,4057.6171875,4960.9375,6220.703125
3437.5,3339.84375,3544.921875,4038.0859375,4980.46875,6186.5234375
3457.03125,3349.609375,3559.5703125,4047.8515625,4975.5859375,6201.171875
3422.8515625,3349.609375,3603.515625,4057.6171875,4965.8203125,6210.9375
3432.6171875,3344.7265625,3549.8046875,4052.734375,4960.9375,6196.2890625
3432.6171875,3354.4921875,3544.921875,4038.0859375,4951.171875,6201.171875
3388.671875,3369.140625,3540.0390625,4047.8515625,4936.5234375,6196.2890625
3417.96875,3369.140625,3554.6875,4047.8515625,4946.2890625,6186.5234375
3417.96875,3369.140625,3525.390625,4038.0859375,4965.8203125,6176.7578125
3403.3203125,3378.90625,3525.390625,4028.3203125,4970.703125,6176.7578125
3408.203125,3359.375,3530.2734375,4052.734375,4946.2890625,6181.640625
3393.5546875,3378.90625,3515.625,4023.4375,4960.9375,6191.40625
3403.3203125,3378.90625,3505.859375,4023.4375,4980.46875,6166.9921875
3383.7890625,3383.7890625,3481.4453125,4018.5546875,4965.8203125,6191.40625
3364.2578125,3383.7890625,3505.859375,4028.3203125,4970.703125,6215.8203125
3388.671875,3388.671875,3500.9765625,4003.90625,4990.234375,6191.40625
3403.3203125,3383.7890625,3496.09375,4013.671875,4985.3515625,6176.7578125
3369.140625,3388.671875,3481.4453125,4003.90625,5004.8828125,6206.0546875
3374.0234375,3383.7890625,3491.2109375,4003.90625,5009.765625,6215.8203125
3369.140625,3403.3203125,3471.6796875,3989.2578125,5009.765625,6215.8203125
3349.609375,3378.90625,3476.5625,4013.671875,5024.4140625,6215.8203125
3354.4921875,3393.5546875,3471.6796875,3989.2578125,5024.4140625,6235.3515625
3364.2578125,3403.3203125,3481.4453125,3969.7265625,5024.4140625,6240.234375
3334.9609375,3413.0859375,3461.9140625,3994.140625,5034.1796875,6245.1171875
3349.609375,3417.96875,3466.796875,3969.7265625,5034.1796875,6230.46875
3339.84375,3413.0859375,3461.9140625,3959.9609375,5039.0625,6240.234375
3320.3125,3398.4375,3442.3828125,3955.078125,5039.0625,6240.234375
3349.609375,3403.3203125,3452.1484375,3969.7265625,5024.4140625,6250.0
3330.078125,3398.4375,3452.1484375,3959.9609375,5043.9453125,6259.765625
